Train_No,Train_Name,distance,Source_Station_Name,day_of_departure,Destination_Station_Name,day_of_arrival,departure_time,arrival_time
3501,JSME-ANVT BI,67,JASIDIH JN.,Sunday,ANAND VIHAR TERMINAL,Saturday,16:54:28,6:56:07
3502,ANVT-JSME BI,2855,ANAND VIHAR TERMINAL,Saturday,JASIDIH JN.,Saturday,13:40:56,12:56:43
4401,ANVT-UHP EXP,1741,ANAND VIHAR TERMINAL,Thursday,SHRI MATA VAISHNO DEVI KATRA,Saturday,8:31:46,22:29:44
4402,UHP-ANVT EXP,2453,SHRI MATA VAISHNO DEVI KATRA,Thursday,ANAND VIHAR TERMINAL,Sunday,13:21:22,3:43:37
4409,DLI-SVDK SPL,1983,DELHI JN.,Sunday,SHRI MATA VAISHNO DEVI KATRA,Monday,0:07:44,1:46:19
4410,SVDK-DLI SPL,869,SHRI MATA VAISHNO DEVI KATRA,Wednesday,DELHI JN.,Monday,2:03:08,16:57:26
4419,MAO-NZM WINT,204,MADGOAN JN.,Sunday,HAZRAT NIZAMUDDIN JN,Monday,20:39:49,2:10:02
4420,NZM-MAO WINT,2360,HAZRAT NIZAMUDDIN JN,Wednesday,MADGOAN JN.,Sunday,19:07:34,21:14:03
4735,BKN - HW EXP,2693,BIKANER JN.,Sunday,HARIDWAR JN,Sunday,14:53:50,8:40:17
4736,HW - BKN EXP,2073,HARIDWAR JN,Tuesday,BIKANER JN.,Monday,0:28:09,5:30:26
4767,HMH-SGNR SPL,1693,HANUMANGARH JN.,Sunday,SHRI GANGANAGAR,Sunday,7:59:08,23:37:30
4768,SGNR-HMH SPL,2047,SHRI GANGANAGAR,Wednesday,HANUMANGARH JN.,Friday,1:45:01,15:54:35
4769,HMH SGNR PAS,1174,HANUMANGARH JN.,Monday,SHRI GANGANAGAR,Tuesday,10:48:17,21:33:59
4770,SGNR HMH PAS,1382,SHRI GANGANAGAR,Thursday,HANUMANGARH JN.,Friday,23:38:17,8:10:22
4771,SDLP-SGNR SP,852,SADULPUR JN,Tuesday,SHRI GANGANAGAR,Monday,5:23:53,8:14:12
4772,SGNR-SDLP SP,26,SHRI GANGANAGAR,Tuesday,SADULPUR JN,Friday,5:05:14,6:05:24
4773,SGNR SOG SPL,2736,SHRI GANGANAGAR,Tuesday,SURATGARH JN.,Saturday,22:44:36,3:42:24
4774,SOG SGNR SPL,911,SURATGARH JN.,Sunday,SHRI GANGANAGAR,Friday,13:41:28,5:46:04
4801,PBC MKN PASS,2288,PARVATSAR CITY,Thursday,MAKRANA JN.,Tuesday,12:48:24,13:13:22
4802,MKN PBC PASS,2715,MAKRANA JN.,Saturday,PARVATSAR CITY,Monday,11:47:30,20:03:53
4831,JU HW SPL,1265,JODHPUR JN.,Sunday,HARIDWAR JN,Friday,15:15:44,2:50:17
4832,HW JU SPL,1283,HARIDWAR JN,Wednesday,JODHPUR JN.,Monday,21:07:18,12:13:05
4851,MTD RTGH SPL,1224,MERTA ROAD JN.,Thursday,RATANAGARH JN,Sunday,19:25:34,11:47:16
4852,RTGH MTD SPL,2294,RATANAGARH JN,Monday,MERTA ROAD JN.,Thursday,19:15:12,4:11:27
4853,RTGH CUR SPL,2483,RATANAGARH JN,Monday,CHURU,Friday,8:18:01,7:44:00
4854,CUR RTGH SPL,957,CHURU,Monday,RATANAGARH JN,Friday,4:27:46,19:03:49
4921,SRE-UMB MEMU,362,SAHARANPUR JN.,Tuesday,AMBALA CANTT JN,Friday,18:01:43,2:43:36
4922,UMB-SRE MEMU,2854,AMBALA CANTT JN,Tuesday,SAHARANPUR JN.,Sunday,0:32:18,6:31:41
4991,PTK-JAT DEMU,397,PATHANKOT JN.,Wednesday,JAMMU TAWI,Wednesday,13:42:06,5:42:15
4992,JAT-PTK DEMU,1758,JAMMU TAWI,Sunday,PATHANKOT JN.,Saturday,16:43:35,14:22:05
5061,GKP - BNY SP,51,GORAKHPUR JN.,Wednesday,BARHNI,Monday,9:55:56,8:29:28
5062,BNY - GKP SP,186,BARHNI,Monday,GORAKHPUR JN.,Sunday,3:57:00,6:06:09
5065,CPR-LJN,1553,CHHAPRA JN.,Thursday,LUCKNOW JN.,Saturday,17:53:12,14:07:01
5066,LJN-CPR-EXP,2591,LUCKNOW JN.,Saturday,CHHAPRA JN.,Thursday,12:31:11,14:39:14
5105,GKP-BST SPL,2884,GORAKHPUR JN.,Wednesday,BASTI,Tuesday,20:51:52,10:28:12
5106,BST-GKP SPL,73,BASTI,Monday,GORAKHPUR JN.,Thursday,23:06:47,12:06:54
5305,CPA-FBD EXP,2642,KANPUR ANWARGANJ,Thursday,FARRUKHABAD JN,Monday,16:45:41,19:05:23
5306,FBD- CPA EXP,1149,FARRUKHABAD JN,Saturday,KANPUR ANWARGANJ,Monday,6:24:25,4:03:58
5309,BC-LKU SPL,2166,BAREILLY CITY,Friday,LALKUA JN.,Sunday,11:54:59,18:45:55
5310,LKU-BC EXP,2933,LALKUA JN.,Wednesday,BAREILLY CITY,Wednesday,10:29:48,8:22:20
5521,JMP-SHC SPEC,2161,JAMALPUR JN.,Saturday,SAHARSA JN.,Friday,0:24:34,17:26:28
5522,SHC-JMP SPEC,1474,SAHARSA JN.,Monday,JAMALPUR JN.,Tuesday,8:28:30,3:18:24
5613,JLWC-KOTA SP,2479,JHALAWAR CITY,Sunday,KOTA,Friday,22:38:56,17:00:56
5614,KOTA-JLWC SP,2492,KOTA,Sunday,JHALAWAR CITY,Wednesday,15:04:19,21:55:48
5619,NLP - MZS PA,2230,NORTH LAKHIMPUR,Thursday,MURKEONG SELEK,Monday,13:19:12,3:37:00
5620,MZS - NLP PA,386,MURKEONG SELEK,Tuesday,NORTH LAKHIMPUR,Wednesday,1:13:15,15:57:44
5631,GHY - SCL PA,2732,GUWAHATI,Wednesday,SILCHAR,Saturday,4:59:07,20:50:43
5632,SCL - GHY PA,81,SILCHAR,Friday,GUWAHATI,Tuesday,3:19:27,3:23:58
5715,GAREEB NAWAZ,1930,NEW JALPAIGURI JN,Monday,KISHANGANJ,Wednesday,20:52:07,19:42:23
5716,GAREEB NAWAZ,2754,KISHANGANJ,Thursday,NEW JALPAIGURI JN,Tuesday,10:45:58,1:41:27
5719,KIR - SGUJ D,389,KATIHAR JN.,Saturday,SILIGURI JN.,Friday,4:52:28,21:17:26
5720,SGUJ - KIR D,575,SILIGURI JN.,Tuesday,KATIHAR JN.,Saturday,8:06:23,7:34:25
5863,RNY - RPAN P,1175,RANGIYA JN.,Saturday,RANGAPARA NORTH,Monday,22:28:36,21:49:36
5864,RPAN - RNY P,1201,RANGAPARA NORTH,Saturday,RANGIYA JN.,Thursday,1:03:43,8:18:39
5865,RNY - MZS PA,1300,RANGIYA JN.,Thursday,MURKEONG SELEK,Sunday,15:46:54,0:04:27
5866,MZS - RNY PA,2835,MURKEONG SELEK,Monday,RANGIYA JN.,Wednesday,1:51:06,21:00:03
6001,MS-TEN SPECI,313,CHENNAI EGMORE,Friday,TIRUNELVELI JN,Saturday,2:20:10,14:01:57
6002,TEN - MS SPE,1776,TIRUNELVELI JN,Wednesday,CHENNAI EGMORE,Monday,10:08:13,14:10:41
6006,ERS-MAS SPL,2970,ERNAKULAM. JN,Tuesday,CHENNAI CENTRAL,Saturday,3:54:42,13:52:34
6009,SRC-PDY SPL,1027,SANTRAGACHI JN.,Tuesday,PONDICHERRY,Sunday,13:25:51,17:50:09
6010,PDY-SRC SPL,2985,PONDICHERRY,Monday,SANTRAGACHI JN.,Sunday,19:48:03,21:34:23
6041,MAS-QLN SPEC,96,CHENNAI CENTRAL,Monday,QUILON,Saturday,12:35:55,0:19:13
6042,QLN-MAS SPEC,2074,QUILON,Thursday,CHENNAI CENTRAL,Saturday,17:38:42,5:46:21
6043,MAS-QLN SPL,361,CHENNAI CENTRAL,Saturday,QUILON,Thursday,13:28:00,20:45:35
6044,QLN-MAS  SPL,610,QUILON,Friday,CHENNAI CENTRAL,Wednesday,13:30:01,18:42:23
6046,QLN-MAS SPEC,485,QUILON,Tuesday,CHENNAI CENTRAL,Tuesday,8:29:28,0:38:09
6047,MAS-QLN SPL,2280,CHENNAI CENTRAL,Friday,QUILON,Thursday,7:00:36,1:47:11
6048,QLN- MAS SPL,697,QUILON,Tuesday,CHENNAI CENTRAL,Monday,13:11:29,3:58:38
6049,MS-QLN SPL F,718,CHENNAI EGMORE,Monday,QUILON,Saturday,13:56:54,20:26:04
6050,QLN-MS  SPL,2775,QUILON,Wednesday,CHENNAI EGMORE,Monday,13:15:31,8:02:38
6053,KCVL-MAJN S/,2336,KOCHUVELI,Saturday,MANGALORE JN,Saturday,1:05:56,17:01:01
6054,MAJN-KCVL S/,2457,MANGALORE JN,Sunday,KOCHUVELI,Sunday,8:57:05,16:15:24
6057,SRC-MAS  SPL,2262,SANTRAGACHI JN.,Friday,CHENNAI CENTRAL,Wednesday,12:52:35,0:25:05
6058,MAS-SRC  EXP,819,CHENNAI CENTRAL,Tuesday,SANTRAGACHI JN.,Sunday,4:58:16,20:49:03
6065,CGL-MDU SPL,2937,CHENGALPATTU,Monday,MADURAI JN,Saturday,22:10:08,9:05:18
6066,MDU-CGL SPL,489,MADURAI JN,Tuesday,CHENGALPATTU,Thursday,2:14:46,3:41:03
6067,CGL-CBE TRI-,2284,CHENGALPATTU,Sunday,COIMBATORE  JN.,Tuesday,3:44:07,4:59:04
6068,CBE-CGL TRI-,722,COIMBATORE  JN.,Saturday,CHENGALPATTU,Friday,9:06:27,20:24:41
6081,CBE-POY PASS,1677,COIMBATORE  JN.,Friday,POLLACHI,Wednesday,18:45:26,0:41:00
6082,POY-CBE PASS,2805,POLLACHI,Thursday,COIMBATORE  JN.,Thursday,5:42:03,2:16:34
6412,DSJ-PAY EZHI,2782,DELHI-SAFDAR JANG,Friday,PAYYANUR,Thursday,6:46:02,11:31:43
6512,MKM-BAND ONE,921,MARIKUPPAM,Wednesday,BANASWADI,Saturday,8:05:48,7:55:58
6513,BWT-MKM-MEMU,2631,BANGARPET JN.,Sunday,MARIKUPPAM,Sunday,8:28:39,7:42:01
6541,YPR-PVR WEEK,1563,YESVANTPUR JN.,Sunday,PANDHARPUR,Wednesday,4:39:21,17:47:42
6542,PVR-YPR WEEK,2063,PANDHARPUR,Wednesday,YESVANTPUR JN.,Thursday,7:45:47,16:46:12
6547,YPR-ERS WEEK,1900,YESVANTPUR JN.,Thursday,ERNAKULAM. JN,Monday,4:27:45,22:59:30
6548,ERS-YPR WEEK,2605,ERNAKULAM. JN,Wednesday,YESVANTPUR JN.,Thursday,14:14:37,23:05:25
6579,YPR-VSKP WKY,2828,YESVANTPUR JN.,Friday,VISAKHAPATNAM,Tuesday,18:04:22,6:04:38
6580,VSKP-YPR WKY,2509,VISAKHAPATNAM,Tuesday,YESVANTPUR JN.,Monday,0:04:39,8:12:59
6581,YPR-BGM TATK,2762,YESVANTPUR JN.,Thursday,BELGAUM,Friday,14:48:53,22:00:02
6582,BGM-YPR TATK,1909,BELGAUM,Monday,YESVANTPUR JN.,Monday,7:30:47,2:43:00
6591,YPR-HSRA PAS,1567,YESVANTPUR JN.,Monday,HOSUR,Thursday,19:13:53,23:53:39
6592,HSRA-YPR PAS,85,HOSUR,Tuesday,YESVANTPUR JN.,Sunday,4:41:31,14:50:09
6593,WFD-BYPL DEM,1942,WHITE FIELD,Sunday,BAIYYAPPANAHALLI,Tuesday,19:05:10,11:04:53
6594,BYPL-WFD DEM,753,BAIYYAPPANAHALLI,Saturday,WHITE FIELD,Monday,18:43:03,18:35:19
6595,YPR-CBP PASS,636,YESVANTPUR JN.,Saturday,DEVANHALLI,Wednesday,0:13:08,13:49:46
6596,CBP-YPR PASS,141,DEVANHALLI,Tuesday,YESVANTPUR JN.,Thursday,13:04:06,22:20:34
6647,KRBA-BSP PAS,1666,KORBA,Friday,BILASPUR JN.,Friday,23:17:52,15:34:20
6648,BSP-KRRBA PA,2972,BILASPUR JN.,Friday,KORBA,Friday,6:23:34,22:36:07
6769,PGTN-PLNI PA,457,PALGHAT TOWN,Wednesday,PALANI,Sunday,22:28:54,0:51:39
6770,PLNI-PGTN PA,255,PALANI,Thursday,PALGHAT TOWN,Sunday,12:15:09,22:38:30
6851,KIK-NCR DEMU,1260,KARAIKAL,Wednesday,NAGORE,Wednesday,6:48:10,11:42:44
6852,NCR-KIK DEMU,2567,NAGORE,Sunday,KARAIKAL,Tuesday,8:36:04,0:26:41
6853,KIK-NCR PASS,2840,KARAIKAL,Thursday,NAGORE,Tuesday,8:44:08,9:18:10
6854,NCR-KIK PASS,654,NAGORE,Monday,KARAIKAL,Wednesday,11:08:55,21:52:52
6919,UBL-BJP SPL,730,HUBLI JN.,Saturday,BIJAPUR JN,Friday,8:20:20,22:25:17
6920,BJP-UBL SPL,2816,BIJAPUR JN,Monday,HUBLI JN.,Thursday,5:04:31,10:35:39
7005,HYB-RXL,2279,HYDERABAD DECCAN,Sunday,RAXAUL JN.,Tuesday,19:18:17,12:28:21
7006,RXL-HYB,644,RAXAUL JN.,Saturday,HYDERABAD DECCAN,Wednesday,11:05:24,17:12:50
7007,SC-DBG,802,SECUNDERABAD JN.,Sunday,DARBHANGA JN.,Friday,15:22:57,20:10:21
7008,DBG-SC,1400,DARBHANGA JN.,Wednesday,SECUNDERABAD JN.,Sunday,20:06:08,17:21:17
7016,KCG-VSKP,1104,KACHEGUDA,Saturday,VISAKHAPATNAM,Monday,2:28:50,7:54:19
7044,VSKP HSP,1116,TIRUPATI,Monday,VISAKHAPATNAM,Friday,8:47:56,0:45:15
7061,COA-VLNK,1186,KAKINADA PORT,Tuesday,VIJAYWADA JN.,Friday,10:11:11,5:47:43
7062,VLNK-BZA,1755,VIJAYWADA JN.,Friday,KAKINADA PORT,Saturday,22:30:01,3:40:07
7075,HYB-COA,2997,SECUNDERABAD JN.,Wednesday,KAKINADA TOWN,Wednesday,17:45:59,20:09:12
7076,COA-HYB,1551,KAKINADA TOWN,Thursday,SECUNDERABAD JN.,Thursday,1:32:18,8:22:50
7109,HYB-QLN,2630,HYDERABAD DECCAN,Thursday,QUILON,Thursday,21:32:11,2:38:03
7110,QLN-HYB,2237,QUILON,Monday,HYDERABAD DECCAN,Tuesday,18:07:20,4:56:20
7113,KRMR-QLN,2620,KARIM NAGAR,Wednesday,QUILON,Tuesday,22:53:56,23:09:59
7133,HYB-GNT-QLN,1440,HYDERABAD DECCAN,Thursday,QUILON,Friday,14:42:56,4:55:22
7134,QLN-GNT-HYB,1238,QUILON,Saturday,HYDERABAD DECCAN,Thursday,13:39:35,0:49:03
7141,HYB-QLN,1273,HYDERABAD DECCAN,Thursday,QUILON,Tuesday,22:09:58,7:23:52
7142,QLN-HYB,107,QUILON,Sunday,HYDERABAD DECCAN,Monday,2:18:31,12:57:44
7146,TPTY-KCG,970,TIRUPATI,Friday,KACHEGUDA,Sunday,7:24:46,17:55:30
7149,SC-GHY HSP,377,SECUNDERABAD JN.,Thursday,GUWAHATI,Saturday,8:51:53,2:28:59
7211,CCT-QLN,546,KAKINADA TOWN,Tuesday,QUILON,Friday,7:08:54,23:33:22
7212,QLN-COA,1049,QUILON,Friday,KAKINADA TOWN,Wednesday,16:12:10,4:45:15
7213,BZA-QLN,1097,VIJAYWADA JN.,Friday,QUILON,Friday,19:16:38,23:34:12
7214,QLN-BZA,763,QUILON,Tuesday,VIJAYWADA JN.,Saturday,20:23:31,15:38:27
7217,NS-QLN,1770,NARASAPUR,Friday,QUILON,Saturday,7:44:07,13:03:30
7218,QLN-NS,657,QUILON,Monday,NARASAPUR,Thursday,9:44:11,16:54:57
7410,TPTY-AK,1693,TIRUPATI,Saturday,AURANGABAD,Monday,14:55:08,10:30:34
7417,TPTY-NSL HSP,2224,TIRUPATI,Monday,NAGARSOL,Tuesday,22:36:18,9:56:25
7418,NSL-TPTY HSP,995,NAGARSOL,Monday,TIRUPATI,Sunday,13:43:17,11:47:08
7425,KCG--COA HSP,2521,KACHEGUDA,Saturday,KAKINADA PORT,Tuesday,4:44:50,9:07:31
7426,COA-KCG HSP,409,KAKINADA PORT,Sunday,KACHEGUDA,Friday,15:25:09,16:13:26
7429,SC-TPTY,1061,SECUNDERABAD JN.,Wednesday,TIRUPATI,Monday,3:02:40,1:56:23
7430,TPTY-SC,2541,TIRUPATI,Thursday,SECUNDERABAD JN.,Monday,17:15:41,9:19:16
7431,CCT-TPTY,2097,KAKINADA TOWN,Friday,TIRUPATI,Wednesday,10:19:08,7:44:13
7432,TPTY-CCT,1160,TIRUPATI,Tuesday,KAKINADA TOWN,Wednesday,8:46:09,2:12:33
7435,COA-HYB,1149,KAKINADA TOWN,Sunday,SECUNDERABAD JN.,Wednesday,13:01:23,4:34:28
7436,SC-COA,980,SECUNDERABAD JN.,Saturday,KAKINADA TOWN,Thursday,8:04:19,14:55:01
7438,KCG-TATA HSP,723,KACHEGUDA,Tuesday,TATANAGAR JN,Thursday,0:56:44,5:53:50
7439,TATA-KCG HSP,1848,TATANAGAR JN,Tuesday,KACHEGUDA,Monday,2:00:54,16:39:44
7487,TPTY-VSKP,1512,TIRUPATI,Wednesday,VISAKHAPATNAM,Saturday,12:19:58,19:20:17
7505,AWB-QLN,1131,AURANGABAD,Wednesday,QUILON,Friday,14:38:00,14:52:39
7509,ADB-QLN,1847,ADILABAD,Thursday,QUILON,Tuesday,22:21:22,21:07:28
7517,BIDAR-PVR,1761,BIDAR,Thursday,PANDHARPUR,Wednesday,9:36:05,2:30:04
7525,NJP - NBQ DE,2405,SILIGURI JN.,Tuesday,NEW BONGAIGAON  JN.,Monday,5:17:10,10:17:41
7526,NBQ - NJP DE,2260,NEW BONGAIGAON  JN.,Tuesday,SILIGURI JN.,Tuesday,6:31:16,5:47:36
7603,KCG-KJM HSP,2220,KACHEGUDA,Wednesday,KRISHNA RAJA PURAM,Monday,23:04:20,1:02:20
7604,KJM-KCG HSP,1543,KRISHNA RAJA PURAM,Wednesday,KACHEGUDA,Tuesday,20:51:27,20:26:49
7607,NED-TPTY HOL,1776,NANDED,Saturday,TIRUPATI,Tuesday,17:42:42,4:21:57
7608,TPTY-NED,1856,TIRUPATI,Monday,NANDED,Monday,18:49:48,20:20:12
7613,sabarimalai,2524,NIZAMABAD,Tuesday,QUILON,Tuesday,6:33:04,16:38:19
7614,sabarimalai,2224,QUILON,Sunday,NIZAMABAD,Sunday,22:47:42,3:32:56
7644,tpty spl,528,KAKINADA TOWN,Sunday,TIRUPATI,Friday,11:40:14,8:25:11
7645,RU-CCT,1079,RENIGUNTA JN.,Thursday,KAKINADA TOWN,Saturday,2:14:09,5:21:04
7757,SC-BZA  SPL,504,SECUNDERABAD JN.,Sunday,VIJAYWADA JN.,Friday,2:17:21,11:58:27
7758,BZA-SC  SPL,824,VIJAYWADA JN.,Tuesday,SECUNDERABAD JN.,Wednesday,20:19:52,16:55:24
7941,CCT-TPTY HSP,932,KAKINADA TOWN,Monday,RENIGUNTA JN.,Friday,4:33:46,0:32:22
7942,TPTY-COASPL,2218,TIRUPATI,Wednesday,KAKINADA TOWN,Sunday,1:34:42,21:44:34
8001,KGP-JGM BI-W,1415,KHARAGPUR,Tuesday,JHARGRAM,Thursday,4:31:48,17:17:40
8002,JGM-KGP BI-W,311,JHARGRAM,Thursday,KHARAGPUR,Monday,6:46:31,20:38:03
8014,MDN-KGP MEMU,2383,MIDNAPORE,Monday,KHARAGPUR,Thursday,19:56:17,16:24:55
8017,KGP-JGM MEMU,615,KHARAGPUR,Sunday,JHARGRAM,Tuesday,1:56:16,16:12:04
8018,JGM-KGP MEMU,1420,JHARGRAM,Tuesday,KHARAGPUR,Saturday,0:14:56,11:41:17
8035,BLS - KGP DE,2568,KHARAGPUR,Saturday,BALASORE,Saturday,16:52:19,4:32:19
8036,BLS - KGP ME,672,BALASORE,Sunday,KHARAGPUR,Monday,16:43:27,8:09:24
8051,KGP JGM MEMU,1419,KHARAGPUR,Thursday,JHARGRAM,Monday,2:00:28,22:03:19
8052,JGM KGP MEMU,1430,JHARGRAM,Saturday,KHARAGPUR,Monday,7:51:33,20:57:28
8061,SHM JP SPL W,1869,SHALIMAR,Friday,JAIPUR JN.,Saturday,22:54:05,1:34:07
8062,JP SHM SPL W,2015,JAIPUR JN.,Wednesday,SHALIMAR,Wednesday,13:44:00,21:53:48
8063,KGP-BQA DEMU,632,KHARAGPUR,Sunday,BANKURA,Friday,20:09:19,8:35:33
8064,BQA-KGP DEMU,2959,BANKURA,Monday,KHARAGPUR,Sunday,10:36:28,12:56:06
8065,KGP-BQA MEMU,2751,KHARAGPUR,Tuesday,BANKURA,Wednesday,23:18:31,2:18:55
8082,BQA-VSU MEMU,2476,BANKURA,Sunday,BISHNUPUR,Thursday,7:12:44,10:24:08
8087,VSU-BQA MEMU,1182,BISHNUPUR,Wednesday,BANKURA,Thursday,0:53:54,2:56:06
8101,CBSA CKP DEM,724,CHAIBASA,Friday,CHAKARADHARPUR,Saturday,9:53:49,1:38:10
