raceId,year,round,circuitId,name
227,1996,4,20,European Grand Prix
228,1996,5,21,San Marino Grand Prix
229,1996,6,6,Monaco Grand Prix
230,1996,7,4,Spanish Grand Prix
231,1996,8,7,Canadian Grand Prix
232,1996,9,8,French Grand Prix
233,1996,10,9,British Grand Prix
234,1996,11,10,German Grand Prix
235,1996,12,11,Hungarian Grand Prix
236,1996,13,13,Belgian Grand Prix
237,1996,14,14,Italian Grand Prix
238,1996,15,27,Portuguese Grand Prix
239,1996,16,22,Japanese Grand Prix
240,1995,1,18,Brazilian Grand Prix
241,1995,2,25,Argentine Grand Prix
242,1995,3,21,San Marino Grand Prix
243,1995,4,4,Spanish Grand Prix
244,1995,5,6,Monaco Grand Prix
245,1995,6,7,Canadian Grand Prix
246,1995,7,8,French Grand Prix
247,1995,8,9,British Grand Prix
248,1995,9,10,German Grand Prix
249,1995,10,11,Hungarian Grand Prix
250,1995,11,13,Belgian Grand Prix
251,1995,12,14,Italian Grand Prix
252,1995,13,27,Portuguese Grand Prix
253,1995,14,20,European Grand Prix
254,1995,15,28,Pacific Grand Prix
255,1995,16,22,Japanese Grand Prix
256,1995,17,29,Australian Grand Prix
257,1994,1,18,Brazilian Grand Prix
258,1994,2,28,Pacific Grand Prix
259,1994,3,21,San Marino Grand Prix
260,1994,4,6,Monaco Grand Prix
261,1994,5,4,Spanish Grand Prix
262,1994,6,7,Canadian Grand Prix
263,1994,7,8,French Grand Prix
264,1994,8,9,British Grand Prix
265,1994,9,10,German Grand Prix
266,1994,10,11,Hungarian Grand Prix
267,1994,11,13,Belgian Grand Prix
268,1994,12,14,Italian Grand Prix
269,1994,13,27,Portuguese Grand Prix
270,1994,14,26,European Grand Prix
271,1994,15,22,Japanese Grand Prix
272,1994,16,29,Australian Grand Prix
273,1993,1,30,South African Grand Prix
274,1993,2,18,Brazilian Grand Prix
275,1993,3,31,European Grand Prix
276,1993,4,21,San Marino Grand Prix
277,1993,5,4,Spanish Grand Prix
278,1993,6,6,Monaco Grand Prix
279,1993,7,7,Canadian Grand Prix
280,1993,8,8,French Grand Prix
281,1993,9,9,British Grand Prix
282,1993,10,10,German Grand Prix
283,1993,11,11,Hungarian Grand Prix
284,1993,12,13,Belgian Grand Prix
285,1993,13,14,Italian Grand Prix
286,1993,14,27,Portuguese Grand Prix
287,1993,15,22,Japanese Grand Prix
288,1993,16,29,Australian Grand Prix
289,1992,1,30,South African Grand Prix
290,1992,2,32,Mexican Grand Prix
291,1992,3,18,Brazilian Grand Prix
292,1992,4,4,Spanish Grand Prix
293,1992,5,21,San Marino Grand Prix
294,1992,6,6,Monaco Grand Prix
295,1992,7,7,Canadian Grand Prix
296,1992,8,8,French Grand Prix
297,1992,9,9,British Grand Prix
298,1992,10,10,German Grand Prix
299,1992,11,11,Hungarian Grand Prix
300,1992,12,13,Belgian Grand Prix
301,1992,13,14,Italian Grand Prix
302,1992,14,27,Portuguese Grand Prix
303,1992,15,22,Japanese Grand Prix
304,1992,16,29,Australian Grand Prix
305,1991,1,33,United States Grand Prix
306,1991,2,18,Brazilian Grand Prix
307,1991,3,21,San Marino Grand Prix
308,1991,4,6,Monaco Grand Prix
309,1991,5,7,Canadian Grand Prix
310,1991,6,32,Mexican Grand Prix
311,1991,7,8,French Grand Prix
312,1991,8,9,British Grand Prix
313,1991,9,10,German Grand Prix
314,1991,10,11,Hungarian Grand Prix
315,1991,11,13,Belgian Grand Prix
316,1991,12,14,Italian Grand Prix
317,1991,13,27,Portuguese Grand Prix
318,1991,14,4,Spanish Grand Prix
319,1991,15,22,Japanese Grand Prix
320,1991,16,29,Australian Grand Prix
321,1990,1,33,United States Grand Prix
322,1990,2,18,Brazilian Grand Prix
323,1990,3,21,San Marino Grand Prix
324,1990,4,6,Monaco Grand Prix
325,1990,5,7,Canadian Grand Prix
326,1990,6,32,Mexican Grand Prix
327,1990,7,34,French Grand Prix
328,1990,8,9,British Grand Prix
329,1990,9,10,German Grand Prix
330,1990,10,11,Hungarian Grand Prix
331,1990,11,13,Belgian Grand Prix
332,1990,12,14,Italian Grand Prix
333,1990,13,27,Portuguese Grand Prix
334,1990,14,26,Spanish Grand Prix
335,1990,15,22,Japanese Grand Prix
336,1990,16,29,Australian Grand Prix
337,2010,1,3,Bahrain Grand Prix
338,2010,2,1,Australian Grand Prix
339,2010,3,2,Malaysian Grand Prix
340,2010,4,17,Chinese Grand Prix
341,2010,5,4,Spanish Grand Prix
342,2010,6,6,Monaco Grand Prix
343,2010,7,5,Turkish Grand Prix
344,2010,8,7,Canadian Grand Prix
345,2010,9,12,European Grand Prix
346,2010,10,9,British Grand Prix
347,2010,11,10,German Grand Prix
348,2010,12,11,Hungarian Grand Prix
349,2010,13,13,Belgian Grand Prix
350,2010,14,14,Italian Grand Prix
351,2010,15,15,Singapore Grand Prix
352,2010,16,22,Japanese Grand Prix
353,2010,17,35,Korean Grand Prix
354,2010,18,18,Brazilian Grand Prix
355,2010,19,24,Abu Dhabi Grand Prix
356,1989,1,36,Brazilian Grand Prix
357,1989,2,21,San Marino Grand Prix
358,1989,3,6,Monaco Grand Prix
359,1989,4,32,Mexican Grand Prix
360,1989,5,33,United States Grand Prix
361,1989,6,7,Canadian Grand Prix
362,1989,7,34,French Grand Prix
363,1989,8,9,British Grand Prix
364,1989,9,10,German Grand Prix
365,1989,10,11,Hungarian Grand Prix
366,1989,11,13,Belgian Grand Prix
367,1989,12,14,Italian Grand Prix
368,1989,13,27,Portuguese Grand Prix
369,1989,14,26,Spanish Grand Prix
370,1989,15,22,Japanese Grand Prix
371,1989,16,29,Australian Grand Prix
372,1988,1,36,Brazilian Grand Prix
373,1988,2,21,San Marino Grand Prix
374,1988,3,6,Monaco Grand Prix
375,1988,4,32,Mexican Grand Prix
376,1988,5,7,Canadian Grand Prix
377,1988,6,37,Detroit Grand Prix
378,1988,7,34,French Grand Prix
379,1988,8,9,British Grand Prix
380,1988,9,10,German Grand Prix
381,1988,10,11,Hungarian Grand Prix
382,1988,11,13,Belgian Grand Prix
383,1988,12,14,Italian Grand Prix
384,1988,13,27,Portuguese Grand Prix
385,1988,14,26,Spanish Grand Prix
386,1988,15,22,Japanese Grand Prix
387,1988,16,29,Australian Grand Prix
388,1987,1,36,Brazilian Grand Prix
389,1987,2,21,San Marino Grand Prix
390,1987,3,13,Belgian Grand Prix
391,1987,4,6,Monaco Grand Prix
392,1987,5,37,Detroit Grand Prix
393,1987,6,34,French Grand Prix
394,1987,7,9,British Grand Prix
395,1987,8,10,German Grand Prix
396,1987,9,11,Hungarian Grand Prix
397,1987,10,23,Austrian Grand Prix
398,1987,11,14,Italian Grand Prix
399,1987,12,27,Portuguese Grand Prix
400,1987,13,26,Spanish Grand Prix
401,1987,14,32,Mexican Grand Prix
402,1987,15,22,Japanese Grand Prix
403,1987,16,29,Australian Grand Prix
404,1986,1,36,Brazilian Grand Prix
405,1986,2,26,Spanish Grand Prix
406,1986,3,21,San Marino Grand Prix
407,1986,4,6,Monaco Grand Prix
408,1986,5,13,Belgian Grand Prix
409,1986,6,7,Canadian Grand Prix
410,1986,7,37,Detroit Grand Prix
411,1986,8,34,French Grand Prix
412,1986,9,38,British Grand Prix
413,1986,10,10,German Grand Prix
414,1986,11,11,Hungarian Grand Prix
415,1986,12,23,Austrian Grand Prix
416,1986,13,14,Italian Grand Prix
417,1986,14,27,Portuguese Grand Prix
418,1986,15,32,Mexican Grand Prix
419,1986,16,29,Australian Grand Prix
420,1985,1,36,Brazilian Grand Prix
421,1985,2,27,Portuguese Grand Prix
422,1985,3,21,San Marino Grand Prix
423,1985,4,6,Monaco Grand Prix
424,1985,5,7,Canadian Grand Prix
425,1985,6,37,Detroit Grand Prix
426,1985,7,34,French Grand Prix
427,1985,8,9,British Grand Prix
428,1985,9,20,German Grand Prix
429,1985,10,23,Austrian Grand Prix
430,1985,11,39,Dutch Grand Prix
431,1985,12,14,Italian Grand Prix
432,1985,13,13,Belgian Grand Prix
433,1985,14,38,European Grand Prix
434,1985,15,30,South African Grand Prix
435,1985,16,29,Australian Grand Prix
436,1984,1,36,Brazilian Grand Prix
437,1984,2,30,South African Grand Prix
438,1984,3,40,Belgian Grand Prix
439,1984,4,21,San Marino Grand Prix
440,1984,5,41,French Grand Prix
441,1984,6,6,Monaco Grand Prix
442,1984,7,7,Canadian Grand Prix
443,1984,8,37,Detroit Grand Prix
444,1984,9,42,Dallas Grand Prix
445,1984,10,38,British Grand Prix
446,1984,11,10,German Grand Prix
447,1984,12,23,Austrian Grand Prix
448,1984,13,39,Dutch Grand Prix
449,1984,14,14,Italian Grand Prix
450,1984,15,20,European Grand Prix
451,1984,16,27,Portuguese Grand Prix
452,1983,1,36,Brazilian Grand Prix
453,1983,2,43,United States Grand Prix West
454,1983,3,34,French Grand Prix
455,1983,4,21,San Marino Grand Prix
456,1983,5,6,Monaco Grand Prix
457,1983,6,13,Belgian Grand Prix
458,1983,7,37,Detroit Grand Prix
459,1983,8,7,Canadian Grand Prix
460,1983,9,9,British Grand Prix
461,1983,10,10,German Grand Prix
462,1983,11,23,Austrian Grand Prix
463,1983,12,39,Dutch Grand Prix
464,1983,13,14,Italian Grand Prix
465,1983,14,38,European Grand Prix
466,1983,15,30,South African Grand Prix
467,1982,1,30,South African Grand Prix
468,1982,2,36,Brazilian Grand Prix
469,1982,3,43,United States Grand Prix West
470,1982,4,21,San Marino Grand Prix
471,1982,5,40,Belgian Grand Prix
472,1982,6,6,Monaco Grand Prix
473,1982,7,37,Detroit Grand Prix
474,1982,8,7,Canadian Grand Prix
475,1982,9,39,Dutch Grand Prix
476,1982,10,38,British Grand Prix
477,1982,11,34,French Grand Prix
478,1982,12,10,German Grand Prix
479,1982,13,23,Austrian Grand Prix
480,1982,14,41,Swiss Grand Prix
481,1982,15,14,Italian Grand Prix
482,1982,16,44,Caesars Palace Grand Prix
483,1981,1,43,United States Grand Prix West
484,1981,2,36,Brazilian Grand Prix
485,1981,3,25,Argentine Grand Prix
486,1981,4,21,San Marino Grand Prix
487,1981,5,40,Belgian Grand Prix
488,1981,6,6,Monaco Grand Prix
489,1981,7,45,Spanish Grand Prix
490,1981,8,41,French Grand Prix
491,1981,9,9,British Grand Prix
492,1981,10,10,German Grand Prix
493,1981,11,23,Austrian Grand Prix
494,1981,12,39,Dutch Grand Prix
495,1981,13,14,Italian Grand Prix
496,1981,14,7,Canadian Grand Prix
497,1981,15,44,Caesars Palace Grand Prix
498,1980,1,25,Argentine Grand Prix
499,1980,2,18,Brazilian Grand Prix
500,1980,3,30,South African Grand Prix
501,1980,4,43,United States Grand Prix West
502,1980,5,40,Belgian Grand Prix
503,1980,6,6,Monaco Grand Prix
504,1980,7,34,French Grand Prix
505,1980,8,38,British Grand Prix
506,1980,9,10,German Grand Prix
507,1980,10,23,Austrian Grand Prix
508,1980,11,39,Dutch Grand Prix
509,1980,12,21,Italian Grand Prix
510,1980,13,7,Canadian Grand Prix
511,1980,14,46,United States Grand Prix
512,1979,1,25,Argentine Grand Prix
513,1979,2,18,Brazilian Grand Prix
514,1979,3,30,South African Grand Prix
515,1979,4,43,United States Grand Prix West
516,1979,5,45,Spanish Grand Prix
517,1979,6,40,Belgian Grand Prix
518,1979,7,6,Monaco Grand Prix
519,1979,8,41,French Grand Prix
520,1979,9,9,British Grand Prix
521,1979,10,10,German Grand Prix
522,1979,11,23,Austrian Grand Prix
523,1979,12,39,Dutch Grand Prix
524,1979,13,14,Italian Grand Prix
525,1979,14,7,Canadian Grand Prix
526,1979,15,46,United States Grand Prix
527,1978,1,25,Argentine Grand Prix
528,1978,2,36,Brazilian Grand Prix
529,1978,3,30,South African Grand Prix
530,1978,4,43,United States Grand Prix West
531,1978,5,6,Monaco Grand Prix
532,1978,6,40,Belgian Grand Prix
533,1978,7,45,Spanish Grand Prix
534,1978,8,47,Swedish Grand Prix
535,1978,9,34,French Grand Prix
536,1978,10,38,British Grand Prix
537,1978,11,10,German Grand Prix
538,1978,12,23,Austrian Grand Prix
539,1978,13,39,Dutch Grand Prix
540,1978,14,14,Italian Grand Prix
541,1978,15,46,United States Grand Prix
542,1978,16,7,Canadian Grand Prix
543,1977,1,25,Argentine Grand Prix
544,1977,2,18,Brazilian Grand Prix
545,1977,3,30,South African Grand Prix
546,1977,4,43,United States Grand Prix West
547,1977,5,45,Spanish Grand Prix
548,1977,6,6,Monaco Grand Prix
549,1977,7,40,Belgian Grand Prix
550,1977,8,47,Swedish Grand Prix
551,1977,9,41,French Grand Prix
552,1977,10,9,British Grand Prix
553,1977,11,10,German Grand Prix
554,1977,12,23,Austrian Grand Prix
555,1977,13,39,Dutch Grand Prix
556,1977,14,14,Italian Grand Prix
557,1977,15,46,United States Grand Prix
558,1977,16,48,Canadian Grand Prix
559,1977,17,16,Japanese Grand Prix
560,1976,1,18,Brazilian Grand Prix
561,1976,2,30,South African Grand Prix
562,1976,3,43,United States Grand Prix West
563,1976,4,45,Spanish Grand Prix
564,1976,5,40,Belgian Grand Prix
565,1976,6,6,Monaco Grand Prix
566,1976,7,47,Swedish Grand Prix
567,1976,8,34,French Grand Prix
568,1976,9,38,British Grand Prix
569,1976,10,20,German Grand Prix
570,1976,11,23,Austrian Grand Prix
571,1976,12,39,Dutch Grand Prix
572,1976,13,14,Italian Grand Prix
573,1976,14,48,Canadian Grand Prix
574,1976,15,46,United States Grand Prix
575,1976,16,16,Japanese Grand Prix
576,1975,1,25,Argentine Grand Prix
577,1975,2,18,Brazilian Grand Prix
578,1975,3,30,South African Grand Prix
579,1975,4,49,Spanish Grand Prix
580,1975,5,6,Monaco Grand Prix
581,1975,6,40,Belgian Grand Prix
582,1975,7,47,Swedish Grand Prix
583,1975,8,39,Dutch Grand Prix
584,1975,9,34,French Grand Prix
585,1975,10,9,British Grand Prix
586,1975,11,20,German Grand Prix
587,1975,12,23,Austrian Grand Prix
588,1975,13,14,Italian Grand Prix
589,1975,14,46,United States Grand Prix
590,1974,1,25,Argentine Grand Prix
591,1974,2,18,Brazilian Grand Prix
592,1974,3,30,South African Grand Prix
593,1974,4,45,Spanish Grand Prix
594,1974,5,50,Belgian Grand Prix
595,1974,6,6,Monaco Grand Prix
596,1974,7,47,Swedish Grand Prix
597,1974,8,39,Dutch Grand Prix
598,1974,9,41,French Grand Prix
599,1974,10,38,British Grand Prix
600,1974,11,20,German Grand Prix
601,1974,12,23,Austrian Grand Prix
602,1974,13,14,Italian Grand Prix
603,1974,14,48,Canadian Grand Prix
604,1974,15,46,United States Grand Prix
605,1973,1,25,Argentine Grand Prix
606,1973,2,18,Brazilian Grand Prix
607,1973,3,30,South African Grand Prix
608,1973,4,49,Spanish Grand Prix
609,1973,5,40,Belgian Grand Prix
610,1973,6,6,Monaco Grand Prix
611,1973,7,47,Swedish Grand Prix
612,1973,8,34,French Grand Prix
613,1973,9,9,British Grand Prix
614,1973,10,39,Dutch Grand Prix
615,1973,11,20,German Grand Prix
616,1973,12,23,Austrian Grand Prix
617,1973,13,14,Italian Grand Prix
618,1973,14,48,Canadian Grand Prix
619,1973,15,46,United States Grand Prix
620,1972,1,25,Argentine Grand Prix
621,1972,2,30,South African Grand Prix
622,1972,3,45,Spanish Grand Prix
623,1972,4,6,Monaco Grand Prix
624,1972,5,50,Belgian Grand Prix
625,1972,6,51,French Grand Prix
626,1972,7,38,British Grand Prix
627,1972,8,20,German Grand Prix
628,1972,9,23,Austrian Grand Prix
629,1972,10,14,Italian Grand Prix
630,1972,11,48,Canadian Grand Prix
631,1972,12,46,United States Grand Prix
632,1971,1,30,South African Grand Prix
633,1971,2,49,Spanish Grand Prix
634,1971,3,6,Monaco Grand Prix
635,1971,4,39,Dutch Grand Prix
636,1971,5,34,French Grand Prix
637,1971,6,9,British Grand Prix
638,1971,7,20,German Grand Prix
639,1971,8,23,Austrian Grand Prix
640,1971,9,14,Italian Grand Prix
641,1971,10,48,Canadian Grand Prix
642,1971,11,46,United States Grand Prix
643,1970,1,30,South African Grand Prix
644,1970,2,45,Spanish Grand Prix
645,1970,3,6,Monaco Grand Prix
646,1970,4,13,Belgian Grand Prix
647,1970,5,39,Dutch Grand Prix
648,1970,6,51,French Grand Prix
649,1970,7,38,British Grand Prix
650,1970,8,10,German Grand Prix
651,1970,9,23,Austrian Grand Prix
652,1970,10,14,Italian Grand Prix
653,1970,11,52,Canadian Grand Prix
654,1970,12,46,United States Grand Prix
655,1970,13,32,Mexican Grand Prix
656,1969,1,30,South African Grand Prix
657,1969,2,49,Spanish Grand Prix
658,1969,3,6,Monaco Grand Prix
659,1969,4,39,Dutch Grand Prix
660,1969,5,51,French Grand Prix
661,1969,6,9,British Grand Prix
662,1969,7,20,German Grand Prix
663,1969,8,14,Italian Grand Prix
664,1969,9,48,Canadian Grand Prix
665,1969,10,46,United States Grand Prix
666,1969,11,32,Mexican Grand Prix
667,1968,1,30,South African Grand Prix
668,1968,2,45,Spanish Grand Prix
669,1968,3,6,Monaco Grand Prix
670,1968,4,13,Belgian Grand Prix
671,1968,5,39,Dutch Grand Prix
672,1968,6,53,French Grand Prix
673,1968,7,38,British Grand Prix
674,1968,8,20,German Grand Prix
675,1968,9,14,Italian Grand Prix
676,1968,10,52,Canadian Grand Prix
677,1968,11,46,United States Grand Prix
678,1968,12,32,Mexican Grand Prix
679,1967,1,30,South African Grand Prix
680,1967,2,6,Monaco Grand Prix
681,1967,3,39,Dutch Grand Prix
682,1967,4,13,Belgian Grand Prix
683,1967,5,54,French Grand Prix
684,1967,6,9,British Grand Prix
685,1967,7,20,German Grand Prix
686,1967,8,48,Canadian Grand Prix
687,1967,9,14,Italian Grand Prix
688,1967,10,46,United States Grand Prix
689,1967,11,32,Mexican Grand Prix
690,1966,1,6,Monaco Grand Prix
691,1966,2,13,Belgian Grand Prix
692,1966,3,55,French Grand Prix
693,1966,4,38,British Grand Prix
694,1966,5,39,Dutch Grand Prix
695,1966,6,20,German Grand Prix
696,1966,7,14,Italian Grand Prix
697,1966,8,46,United States Grand Prix
698,1966,9,32,Mexican Grand Prix
699,1965,1,56,South African Grand Prix
700,1965,2,6,Monaco Grand Prix
701,1965,3,13,Belgian Grand Prix
702,1965,4,51,French Grand Prix
703,1965,5,9,British Grand Prix
704,1965,6,39,Dutch Grand Prix
705,1965,7,20,German Grand Prix
706,1965,8,14,Italian Grand Prix
707,1965,9,46,United States Grand Prix
708,1965,10,32,Mexican Grand Prix
709,1964,1,6,Monaco Grand Prix
710,1964,2,39,Dutch Grand Prix
711,1964,3,13,Belgian Grand Prix
712,1964,4,53,French Grand Prix
713,1964,5,38,British Grand Prix
714,1964,6,20,German Grand Prix
715,1964,7,57,Austrian Grand Prix
716,1964,8,14,Italian Grand Prix
717,1964,9,46,United States Grand Prix
718,1964,10,32,Mexican Grand Prix
719,1963,1,6,Monaco Grand Prix
720,1963,2,13,Belgian Grand Prix
721,1963,3,39,Dutch Grand Prix
722,1963,4,55,French Grand Prix
723,1963,5,9,British Grand Prix
724,1963,6,20,German Grand Prix
725,1963,7,14,Italian Grand Prix
726,1963,8,46,United States Grand Prix
